x-label,y-label,title_yes,title_no,mean_x,mean_y
"Incidence of psychosis per 100,000",% of those 16 or older who have used cannabis in the last week,Cannabis use is associated with increased incidence of psychosis,There is no relationship between cannabis use and psychosis,31,14
Average adult male height (cm),GDP per capita (US$),Adult male height can be used as a predictor of GDP per capita,There is no relationship between GDP per capita and average make height,160,"17,000"
Percentage of obese adults,GDP per capita (US$),Higher GDP per capita is associated with increased obesity,There is no association between obesity and GDP per capita,20%,"17,000"
Percentage of young people going on to higher education,Average temperature of home country (degrees C),Being from a warmer country is associated with being less likely to go into higher education,There is no relationship between the temperature of your home country and how likely you are to go into higher education,14,22
Incidence of twins born (per 1000 births),GDP per capita (US$),Being from a rich country is associated with mothers having fewer twins,There is no association between GDP per capita and more twins being born,4,"17,000"
Times played for the England football team,Age of player,"The older you get, the more you play",There is no relationship between the age of the player and the number of times they have played for England,34,27
Percentage of A*s achieved at GCSE,Household income (å£),Children from richer households get better GCSEs,There is no relationship between household income and GCSE achievment,20,"29,400"
Average time spent on a plane per year (hours),GDP per capita (US$),People from richer countries fly more,There is no association between GDP per capita and time spent on planes,6.8,"17,000"
Number of top 40 singles,Time active as a band (years),"The longer your band plays, the more top 40 singles you're likely to have",Time active as a band does not predict the number of top 40 singles you get,3,15
Percentage of people with sight difficulties,Distance from the equator (thousands of miles),"The closer you live to the equator, the more likely you are to have sight difficulties",Living close to the equator has no relation with incidence of sigh difficulties,30,10
Chocolate eaten per person per year (kg),GDP per capita (US$),Rich countries consume more chocolate,How rich your country is has nothing to do with how much chocolate you consume,3,"17,000"
Cost of electricity (pence per kWh,Percentage of the population who identify as religious,"The more religious your country, the more you pay for electricity",Religiosity is not related to how much you pay for electricity,15,35
Percentage of the adult population who smoke cigarettes,Percentage of obese adults,There is a positive relationship between smoking and adult obesity,There is no relationship between smoking and adult obesity,17,20
Consumption of alcohol per person per year (L),Percentage of the population who identify as Christian,"The more Christians in a country, the more alcohol is drunk there",There is no relationship between alcohol consumption and how many people are Christian in a country,6.4,30
Percentage of men with beards,Percentage of the population who identify as religious,"The more religious a country is, the more men have beards",There is no relationship between religiosity and men having beards,25,35
Average life expectancy (years),GDP per capita (US$),People from richer countries live longer,There is no relationship between how rich a country is and how long its people live,77,"17,000"
Average number of televisions per household in the US,Average number of children per household,Households with more children have more televisions,There is no relationship between how many children are in a household and how many televisions the household has,3.2,2
Mother's age at first childbirth,GDP per capita (US$),Women from richer countries have children later,There is no association between the affluence of a country and women's average age at first childbirth,23,"17,000"
Percentage of the population to own a car,Percentage of those between 16 and 30 who have at least one child,Having a child makes you more likely to own a car,Having a child and owning a car are not related,50,40
Average birth weight in lbs,Mother's age at first childbirth,Women who have children later have heavier babies,There is no association between how old a woman is at first childbirth and how heavy her children are,7,22
Years spent in education,GDP per capita (US$),Children from richer countries spend longer in education,There is no association between how rich a country is and the average number of years its children spend in education,14,"17,000"
Population of sheep in a country (millions),Percentage of country that is grazing land,"The more grazing land in a country, the more sheep there are",There is no association between how much grazing land a country has and how many sheep are there,20,45
Number of people per doctor,Population (millions),"The higher a countries population, the more people there are per doctor",There is no relationship between how many people there are per doctor and the overall population of the country,50,60
Percentage of people who eat meat,Number of livestock animals (millions),"The more livestock animals are in a country, the more people eat meat",There is no relationship between how many livestock animals a country has and the percentage of people who eat meat,80,50
Percentage of who have ever broken a bone,Average temperature of country (degrees C),"The hotter a country is on average, the more likely its populace are to have broken a bone",The average temperature where you live is not related to whether you've ever broken a bone,80,22
Percentage of people who speak at least two languages,Percentage of children who grow up with a single parent,Growing up with a single parent is related to speaking at least two language,,60,20
Percentage of UK university students who study STEM subjects,Household income (å£),Growing up in a richer household is related to studying STEM subjects,There is no relationship between household income and studying STEM subjects at university,40,"20,000"
Percentage of mature students at a university,Age of the university (years),Older universities have greater populations of mature students,Age of the university is not related to its population of mature students,15,60
Rate of unemployment,Percentage of those living below the poverty line,Countries with more people living below the poverty line have greater rates of unemployment,Unemployment rate is not related to the proportion of the population living below the poverty line,10,5
Percentage of population with red hair,Distance from the equator (thousands of miles),Being from a country farther from the equator is positively related to the proportion of the population with red hair,The proportion of the population with red hair is not related to a countries distance from the equator,15,10
Incidence of male pattern baldness ,Average temperature  of country (degrees C),Living in a hotter country is associated with an increased incidence of male pattern baldness,The incidence of male pattern baldness is not related to the average temperature of a country,50,22
